0 45 54 0 0
0 57 54 0 1
2 110 60 0 0
4 102 36 0 0
9 27 101 0 1
10 58 58 0 0
10 67 58 0 1
12 54 6 0 0
16 104 59 0 0
22 42 27 0 1
24 124 84 0 1
35 27 120 0 0
46 124 35 0 0
50 72 59 0 0
50 75 59 0 1
51 94 3 0 1
57 83 79 0 1
58 51 105 0 1
68 33 50 0 1
68 18 21 0 1
69 91 125 0 1
73 57 96 0 0
79 118 14 0 1
80 33 90 0 1
94 55 100 0 0
105 107 76 0 1
109 24 36 0 1
111 123 108 0 0
113 59 29 0 0
118 56 49 0 0
126 60 21 0 0
135 47 34 0 1
139 79 124 0 0
144 120 93 0 1
144 58 95 0 1
145 62 19 0 1
148 119 109 0 1
150 71 81 0 1
151 49 31 0 0
155 55 63 0 1
158 1 107 0 1
173 34 28 0 1
178 127 45 0 1
179 108 14 0 0
183 48 106 0 1
193 83 96 0 0
193 1 21 0 1
200 8 92 0 0
202 0 24 0 1
222 100 87 0 0
224 53 75 0 0
239 26 71 0 0
242 74 95 0 0
244 75 82 0 0
249 91 120 0 0
270 45 116 0 1
272 124 110 0 0
273 22 42 0 0
278 51 113 0 1
288 108 110 0 0
290 39 42 0 0
299 36 108 0 0
305 30 8 0 1
306 50 65 0 1
308 94 70 0 0
312 4 122 0 0
312 94 98 0 0
314 52 84 0 0
324 66 15 0 1
329 123 100 0 1
330 54 0 0 0
333 65 107 0 1
345 43 38 0 1
349 66 14 0 1
350 118 105 0 0
355 124 99 0 1
356 71 43 0 1
358 32 37 0 0
358 50 126 0 0
360 44 69 0 0
363 27 55 0 0
367 84 74 0 1
368 20 33 0 0
375 116 57 0 1
380 20 84 0 0
381 107 106 0 1
392 96 40 0 1
394 122 25 0 0
394 63 105 0 1
394 74 34 0 1
397 119 11 0 0
398 127 27 0 0
401 120 77 0 0
403 112 83 0 0
404 53 62 0 0
416 83 79 0 0
418 72 17 0 0
423 8 44 0 0
425 88 80 0 0
428 94 63 0 0
432 49 42 0 0
433 19 9 0 0
438 92 99 0 0
441 125 5 0 1
451 77 19 0 1
452 126 43 0 1
455 2 28 0 1
456 79 98 0 0
462 104 11 0 1
474 103 110 0 1
476 51 114 0 1
479 113 73 0 0
484 99 8 0 0
485 31 110 0 1
486 27 35 0 0
487 97 123 0 0
514 112 35 0 0
520 102 37 0 0
526 61 14 0 0
527 78 31 0 1
530 24 27 0 0
532 102 50 0 1
533 7 113 0 0
542 91 36 0 1
558 46 115 0 1
560 48 67 0 1
564 7 77 0 1
567 23 71 0 1
570 66 34 0 1
574 11 96 0 1
585 79 14 0 1
586 65 121 0 0
586 84 45 0 1
587 61 35 0 0
591 86 82 0 1
592 34 25 0 0
610 18 56 0 0
615 70 114 0 0
618 59 35 0 1
619 80 118 0 0
627 39 66 0 0
627 102 89 0 0
641 96 85 0 1
644 117 59 0 0
646 89 100 0 0
650 60 26 0 0
651 19 101 0 1
665 118 94 0 0
672 0 65 0 1
675 80 60 0 0
685 68 111 0 0
